IncidentNumber,DateOfCall,CalYear,TimeOfCall,HourOfCall,IncidentGroup,StopCodeDescription,SpecialServiceType,PropertyCategory,PropertyType,AddressQualifier,Postcode_full,Postcode_district,UPRN,USRN,IncGeo_BoroughCode,IncGeo_BoroughName,ProperCase,IncGeo_WardCode,IncGeo_WardName,IncGeo_WardNameNew,Easting_m,Northing_m,Easting_rounded,Northing_rounded,Latitude,Longitude,FRS,IncidentStationGround,FirstPumpArriving_AttendanceTime,FirstPumpArriving_DeployedFromStation,SecondPumpArriving_AttendanceTime,SecondPumpArriving_DeployedFromStation,NumStationsWithPumpsAttending,NumPumpsAttending,PumpCount,PumpMinutesRounded,Notional Cost (£),NumCalls
148598-25092023,2023-09-25,2023,09:45:15,9,Special Service,Special Service,Effecting entry/exit,Non Residential,Private garage ,Nearby address - street not listed in gazetteer,,E6,0,22201752,E09000025,NEWHAM,Newham,E05013910,EAST HAM SOUTH,EAST HAM SOUTH,,,543350,182750,,,London,East Ham,217.0,East Ham,,,1.0,1.0,1,60,388,1.0
058070-27042023,2023-04-27,2023,08:39:13,8,False Alarm,AFA,,Non Residential,Purpose built office ,Correct incident location,EC3N 1LJ,EC3N,100022934994,8100358,E09000001,CITY OF LONDON,City Of london,E05009310,TOWER,TOWER,533600.0,181152.0,533650,181150,51.5135058,-0.0760539,London,Whitechapel,215.0,Whitechapel,,,1.0,1.0,1,60,388,1.0
015334-31012023,2023-01-31,2023,13:53:50,13,Fire,Primary Fire,,Dwelling,Purpose Built Flats/Maisonettes - 10 or more storeys ,Within same building,,RM12,0,21300610,E09000016,HAVERING,Havering,E05013982,ST. ANDREW'S,ST. ANDREW'S,,,552950,186550,,,London,Hornchurch,369.0,Hornchurch,487.0,Dagenham,3.0,3.0,3,112,679,4.0
030959-03032023,2023-03-03,2023,14:02:59,14,False Alarm,AFA,,Non Residential,Post office (within other shop/premises) ,Within same building,SE26 5QX,SE26,100023570374,22001951,E09000023,LEWISHAM,Lewisham,E05013731,SYDENHAM,SYDENHAM,535555.0,171442.0,535550,171450,51.425782,-0.051619,London,Forest Hill,5.0,Forest Hill,,,1.0,1.0,1,60,364,1.0
086549-14062023,2023-06-14,2023,19:59:24,19,False Alarm,False alarm - Good intent,,Outdoor,Grassland/ pasture/ grazing etc ,On land associated with building,NW1 7SU,NW1,5150416,20400710,E09000007,CAMDEN,Camden,E05013667,PRIMROSE HILL,PRIMROSE HILL,528026.0,183735.0,528050,183750,51.5380144371,-0.155385072,London,Euston,493.0,Euston,,,1.0,1.0,1,60,388,3.0
002233-05012023,2023-01-05,2023,15:41:22,15,Special Service,Special Service,RTC,Road Vehicle,Car ,In street outside gazetteer location,CR2 7BF,CR2,100020676224,20502009,E09000008,CROYDON,Croydon,E05011484,SOUTH CROYDON,SOUTH CROYDON,533437.0,163504.0,533450,163550,51.3549486374,-0.0850313757,London,Croydon,343.0,Croydon,,,1.0,1.0,1,60,364,1.0
006034-13012023,2023-01-13,2023,20:39:35,20,Fire,Secondary Fire,,Outdoor Structure,Large refuse/rubbish container (eg skip/ paladin),On land associated with building,N7 0QT,N7,5300047078,21606448,E09000019,ISLINGTON,Islington,E05013713,TUFNELL PARK,TUFNELL PARK,529579.0,185407.0,529550,185450,51.5526863768,-0.1323980667,London,Kentish Town,260.0,Kentish Town,,,1.0,1.0,1,60,364,1.0
097133-01072023,2023-07-01,2023,12:28:33,12,Special Service,Special Service,Effecting entry/exit,Dwelling,Purpose Built Flats/Maisonettes - 10 or more storeys ,Within same building,,E14,0,22702774,E09000030,TOWER HAMLETS,Tower Hamlets,E05009328,POPLAR,POPLAR,,,538150,180950,,,London,Poplar,486.0,Poplar,,,1.0,1.0,1,60,388,1.0
053390-17042023,2023-04-17,2023,18:03:23,18,Special Service,Special Service,Lift Release,Non Residential,Train station - platform (at ground level or elevated) ,Correct incident location,E15 1AZ,E15,10009018066,22201606,E09000025,NEWHAM,Newham,E05013924,STRATFORD,STRATFORD,538577.0,184399.0,538550,184350,51.5414924766,-0.0030866073,London,Stratford,,,,,1.0,1.0,1,60,388,1.0
066430-12052023,2023-05-12,2023,16:57:54,16,False Alarm,AFA,,Dwelling,House - single occupancy ,Within same building,,W10,0,21700807,E09000020,KENSINGTON AND CHELSEA,Kensington And chelsea,E05009394,DALGARNO,DALGARNO,,,523350,181850,,,London,North Kensington,234.0,North Kensington,,,1.0,1.0,1,60,388,1.0
181048-18112023,2023-11-18,2023,14:29:06,14,Special Service,Special Service,Flooding,Dwelling,Purpose Built Flats/Maisonettes - 10 or more storeys ,Correct incident location,,CR0,0,20502257,E09000008,CROYDON,Croydon,E05011468,FAIRFIELD,FAIRFIELD,,,532550,165350,,,London,Croydon,244.0,Croydon,,,1.0,1.0,1,60,388,1.0
180991-18112023,2023-11-18,2023,12:32:42,12,False Alarm,False alarm - Good intent,,Dwelling,Purpose Built Flats/Maisonettes - 10 or more storeys ,Correct incident location,,UB1,0,20601088,E09000009,EALING,Ealing,E05013519,DORMERS WELLS,DORMERS WELLS,,,513550,181250,,,London,Southall,586.0,Ealing,,,1.0,1.0,1,60,388,1.0
098979-04072023,2023-07-04,2023,12:29:01,12,False Alarm,AFA,,Non Residential,Other public building ,Within same building,SW7 5HE,SW7,217071527,21700434,E09000020,KENSINGTON AND CHELSEA,Kensington And chelsea,E05009389,BROMPTON & HANS TOWN,BROMPTON & HANS TOWN,526498.0,179174.0,526450,179150,51.4973667133,-0.1790420594,London,Kensington,254.0,Chelsea,,,1.0,1.0,1,60,388,1.0
176172-10112023,2023-11-10,2023,13:52:31,13,False Alarm,AFA,,Dwelling,Self contained Sheltered Housing ,Correct incident location,,SM1,0,22602208,E09000029,SUTTON,Sutton,E05013768,SUTTON WEST & EAST CHEAM,SUTTON WEST & EAST CHEAM,,,525650,164450,,,London,Sutton,251.0,Sutton,281.0,Sutton,1.0,2.0,2,60,388,1.0
072366-23052023,2023-05-23,2023,17:41:13,17,Fire,Primary Fire,,Outdoor,Domestic garden (vegetation not equipment) ,On land associated with building,HA4 7XS,HA4,100021455946,21400255,E09000017,HILLINGDON,Hillingdon,E05013577,RUISLIP,RUISLIP,509365.0,188318.0,509350,188350,51.5831246872,-0.4229129316,London,Ruislip,236.0,Ruislip,,,1.0,1.0,2,240,1552,2.0
012265-25012023,2023-01-25,2023,13:34:53,13,False Alarm,AFA,,Dwelling,Self contained Sheltered Housing ,Correct incident location,,W12,0,21000894,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05013736,COLLEGE PARK & OLD OAK,COLLEGE PARK & OLD OAK,,,523150,181150,,,London,North Kensington,229.0,North Kensington,231.0,North Kensington,1.0,2.0,2,60,364,3.0
013136-27012023,2023-01-27,2023,03:33:32,3,Fire,Primary Fire,,Non Residential,Town Hall ,On land associated with building,W8 7NX,W8,217110840,21700720,E09000020,KENSINGTON AND CHELSEA,Kensington And chelsea,E05009390,CAMPDEN,CAMPDEN,525366.0,179696.0,525350,179650,51.5023131259,-0.1951543956,London,Kensington,272.0,Kensington,346.0,Hammersmith,2.0,2.0,2,60,364,3.0
012762-26012023,2023-01-26,2023,12:55:33,12,Fire,Primary Fire,,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Correct incident location,,BR5,0,20301179,E09000006,BROMLEY,Bromley,E05014001,ORPINGTON,ORPINGTON,,,547850,166150,,,London,Orpington,249.0,Orpington,469.0,Sidcup,2.0,2.0,2,121,734,1.0
106993-17072023,2023-07-17,2023,17:27:05,17,False Alarm,AFA,,Dwelling,Self contained Sheltered Housing ,Correct incident location,,RM14,0,21301754,E09000016,HAVERING,Havering,E05013968,CRANHAM,CRANHAM,,,557450,187950,,,London,Hornchurch,564.0,Harold Hill,,,1.0,1.0,1,60,388,1.0
053177-17042023,2023-04-17,2023,11:25:28,11,False Alarm,AFA,,Dwelling,Self contained Sheltered Housing ,Correct incident location,,SM6,0,22606226,E09000029,SUTTON,Sutton,E05013759,HACKBRIDGE,HACKBRIDGE,,,528450,165950,,,London,Wallington,230.0,Wallington,493.0,Croydon,2.0,2.0,2,60,388,1.0
163762-20102023,2023-10-20,2023,10:50:03,10,False Alarm,False alarm - Good intent,,Dwelling,House - single occupancy ,Correct incident location,,SM5,0,22600797,E09000029,SUTTON,Sutton,E05013761,ST. HELIER EAST,ST. HELIER EAST,,,527650,166850,,,London,Mitcham,338.0,Sutton,349.0,Mitcham,2.0,2.0,2,60,388,1.0
054941-20042023,2023-04-20,2023,22:31:58,22,False Alarm,AFA,,Non Residential,Pub/wine bar/bar ,Correct incident location,SW1A 1HA,SW1A,10092022539,8400683,E09000033,WESTMINSTER,Westminster,E05013806,ST. JAMES'S,ST. JAMES'S,529245.0,180288.0,529250,180250,51.506753319,-0.1390910961,London,Soho,401.0,Lambeth,425.0,Lambeth,1.0,2.0,2,60,388,2.0
021790-12022023,2023-02-12,2023,22:04:59,22,Fire,Secondary Fire,,Outdoor,Road surface/pavement ,In street outside gazetteer location,E14 8GH,E14,6359726,22700238,E09000030,TOWER HAMLETS,Tower Hamlets,E05009323,CANARY WHARF,CANARY WHARF,537190.0,179805.0,537150,179850,51.5005447794,-0.0248672256,London,Millwall,92.0,Millwall,,,1.0,1.0,1,60,364,2.0
057263-25042023,2023-04-25,2023,16:25:22,16,False Alarm,AFA,,Dwelling,Self contained Sheltered Housing ,Correct incident location,,SW6,0,21000509,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05013742,LILLIE,LILLIE,,,524850,177650,,,London,Fulham,202.0,Fulham,335.0,Hammersmith,3.0,4.0,4,60,388,1.0
166278-24102023,2023-10-24,2023,18:25:15,18,Special Service,Special Service,Effecting entry/exit,Outdoor,Cemetery ,In street outside gazetteer location,E7 9DG,E7,10009001850,22207648,E09000025,NEWHAM,Newham,E05013917,MARYLAND,MARYLAND,539741.0,185669.0,539750,185650,51.5526119764,0.014184327,London,Leytonstone,,,,,,,1,60,388,1.0
021267-11022023,2023-02-11,2023,21:46:41,21,False Alarm,AFA,,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Correct incident location,,SE1,0,22501661,E09000028,SOUTHWARK,Southwark,E05011109,OLD KENT ROAD,OLD KENT ROAD,,,534250,178250,,,London,Old Kent Road,159.0,Old Kent Road,307.0,New Cross,2.0,2.0,2,60,364,1.0
177409-12112023,2023-11-12,2023,14:01:06,14,Special Service,Special Service,Flooding,Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Within same building,,SW4,0,21902132,E09000022,LAMBETH,Lambeth,E05014101,CLAPHAM PARK,CLAPHAM PARK,,,529350,173950,,,London,Tooting,321.0,Clapham,,,1.0,1.0,1,60,388,1.0
127401-22082023,2023-08-22,2023,10:32:36,10,False Alarm,AFA,,Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Correct incident location,,E15,0,22201334,E09000025,NEWHAM,Newham,E05013912,FOREST GATE SOUTH,FOREST GATE SOUTH,,,539650,184850,,,London,Stratford,279.0,Stratford,,,1.0,1.0,1,60,388,1.0
194901-11122023,2023-12-11,2023,21:07:06,21,Fire,Primary Fire,,Dwelling,House - single occupancy ,Correct incident location,,DA15,0,20100669,E09000004,BEXLEY,Bexley,E05011221,BLENDON & PENHILL,BLENDON & PENHILL,,,547250,173750,,,London,Sidcup,319.0,Sidcup,703.0,Sidcup,1.0,2.0,2,109,705,1.0
180558-17112023,2023-11-17,2023,19:01:14,19,Special Service,Special Service,Effecting entry/exit,Dwelling,Purpose Built Flats/Maisonettes - 10 or more storeys ,Correct incident location,,UB5,0,20600300,E09000009,EALING,Ealing,E05013532,NORTHOLT WEST END,NORTHOLT WEST END,,,512250,182750,,,London,Southall,682.0,Northolt,,,1.0,1.0,1,60,388,1.0
003684-08012023,2023-01-08,2023,18:50:33,18,Special Service,Special Service,Effecting entry/exit,Dwelling,Converted Flat/Maisonette - Up to 2 storeys ,Correct incident location,,SW16,0,21901475,E09000022,LAMBETH,Lambeth,E05014116,STREATHAM WELLS,STREATHAM WELLS,,,530850,171550,,,London,West Norwood,336.0,West Norwood,,,1.0,1.0,1,60,364,1.0
159956-14102023,2023-10-14,2023,00:36:25,0,Special Service,Special Service,Effecting entry/exit,Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Within same building,,EN2,0,20702580,E09000010,ENFIELD,Enfield,E05013693,TOWN,TOWN,,,532550,196750,,,London,Enfield,493.0,Enfield,,,1.0,1.0,1,60,388,1.0
006724-15012023,2023-01-15,2023,12:32:12,12,False Alarm,AFA,,Non Residential,Infant/Primary school,Correct incident location,HA8 8JP,HA8,200154397,20037125,E09000003,BARNET,Barnet,E05013638,EDGWAREBURY,EDGWAREBURY,519583.0,193723.0,519550,193750,51.6296324513,-0.2736661956,London,Mill Hill,439.0,Stanmore,,,1.0,1.0,1,60,364,1.0
130242-26082023,2023-08-26,2023,22:27:52,22,Special Service,Special Service,Effecting entry/exit,Dwelling,Converted Flat/Maisonette - Up to 2 storeys ,Correct incident location,,N22,0,21106101,E09000014,HARINGEY,Haringey,E05013605,WOODSIDE,WOODSIDE,,,530650,191650,,,London,Southgate,409.0,Southgate,,,1.0,1.0,1,60,388,2.0
062601-05052023,2023-05-05,2023,11:02:42,11,False Alarm,AFA,,Non Residential,Converted office ,Within same building,WC1V 6HU,WC1V,5088137,20401161,E09000007,CAMDEN,Camden,E05013662,HOLBORN & COVENT GARDEN,HOLBORN & COVENT GARDEN,530994.0,181678.0,530950,181650,51.5188469103,-0.1133920866,London,Soho,269.0,Soho,,,1.0,1.0,1,60,388,1.0
096884-30062023,2023-06-30,2023,20:30:44,20,Special Service,Special Service,Animal assistance incidents,Dwelling,Purpose Built Flats/Maisonettes - 10 or more storeys ,Correct incident location,,EN3,0,20702215,E09000010,ENFIELD,Enfield,E05013674,BRIMSDOWN,BRIMSDOWN,,,535650,198250,,,London,Enfield,,,,,1.0,1.0,1,60,388,1.0
179562-15112023,2023-11-15,2023,21:07:42,21,Fire,Secondary Fire,,Outdoor,Loose refuse ,In street outside gazetteer location,SE18 1DN,SE18,100021017411,20801608,E09000011,GREENWICH,Greenwich,E05014087,PLUMSTEAD & GLYNDON,PLUMSTEAD & GLYNDON,545327.0,178750.0,545350,178750,51.4890370983,0.0918453361,London,Plumstead,336.0,Plumstead,,,1.0,1.0,1,60,388,1.0
174425-07112023,2023-11-07,2023,11:37:17,11,Special Service,Special Service,No action (not false alarm),Dwelling,Royal Palace (part not open to public),Within same building,,SW1A,0,8401058,E09000033,WESTMINSTER,Westminster,E05013806,ST. JAMES'S,ST. JAMES'S,,,529050,179650,,,London,Soho,,,,,,,1,60,388,1.0
172288-04112023,2023-11-04,2023,08:04:54,8,False Alarm,AFA,,Non Residential,Pub/wine bar/bar ,Correct incident location,W1T 1TA,W1T,5019561,20401063,E09000007,CAMDEN,Camden,E05013653,BLOOMSBURY,BLOOMSBURY,529444.0,181683.0,529450,181650,51.5192446,-0.1357174,London,Soho,244.0,Soho,275.0,Euston,2.0,2.0,2,60,388,1.0
185298-25112023,2023-11-25,2023,20:59:23,20,Special Service,Special Service,Effecting entry/exit,Dwelling,Self contained Sheltered Housing ,Correct incident location,,N11,0,20001630,E09000003,BARNET,Barnet,E05013640,FRIERN BARNET,FRIERN BARNET,,,527950,191850,,,London,Finchley,506.0,Finchley,,,1.0,1.0,1,60,388,1.0
047548-06042023,2023-04-06,2023,00:21:08,0,False Alarm,False alarm - Good intent,,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Correct incident location,,SE1,0,22502529,E09000028,SOUTHWARK,Southwark,E05011104,LONDON BRIDGE & WEST BERMONDSEY,LONDON BRIDGE & WEST BERMONDSEY,,,533450,179450,,,London,Dockhead,253.0,Dockhead,310.0,Old Kent Road,2.0,2.0,2,68,440,1.0
090816-21062023,2023-06-21,2023,19:51:51,19,Special Service,Special Service,Suicide/attempts,Dwelling,Purpose Built Flats/Maisonettes - 10 or more storeys ,Correct incident location,,NW10,0,21001716,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05013736,COLLEGE PARK & OLD OAK,COLLEGE PARK & OLD OAK,,,521550,182350,,,London,Park Royal,351.0,Park Royal,,,1.0,1.0,1,75,485,1.0
007373-16012023,2023-01-16,2023,18:19:43,18,Special Service,Special Service,Advice Only,Dwelling,Converted Flat/Maisonette - Up to 2 storeys ,Within same building,,CR7,0,20500721,E09000008,CROYDON,Croydon,E05011464,BENSHAM MANOR,BENSHAM MANOR,,,531650,167950,,,London,Norbury,296.0,Croydon,,,1.0,1.0,1,60,364,1.0
013524-27012023,2023-01-27,2023,21:24:13,21,Special Service,Special Service,Assist other agencies,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Within same building,,HA1,0,21201353,E09000015,HARROW,Harrow,E05013550,HEADSTONE,HEADSTONE,,,514950,188150,,,London,Harrow,366.0,Northolt,,,1.0,1.0,1,60,364,1.0
030124-01032023,2023-03-01,2023,17:29:19,17,Fire,Secondary Fire,,Outdoor Structure,Large refuse/rubbish container (eg skip/ paladin),Nearby address - street not listed in gazetteer,SW16 4TH,SW16,100020649888,20501075,E09000008,CROYDON,Croydon,E05011472,NORBURY & POLLARDS HILL,NORBURY & POLLARDS HILL,530196.0,169129.0,530150,169150,51.4062522418,-0.1294927769,London,Norbury,217.0,Norbury,258.0,Norbury,1.0,2.0,2,60,364,3.0
056458-23042023,2023-04-23,2023,23:43:39,23,False Alarm,AFA,,Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Correct incident location,,SE3,0,20801348,E09000011,GREENWICH,Greenwich,E05014083,KIDBROOKE PARK,KIDBROOKE PARK,,,541350,177050,,,London,East Greenwich,235.0,East Greenwich,340.0,Greenwich,4.0,5.0,5,60,388,1.0
143728-17092023,2023-09-17,2023,08:31:22,8,False Alarm,AFA,,Dwelling,Purpose Built Flats/Maisonettes - 10 or more storeys ,Within same building,,NW8,0,8400498,E09000033,WESTMINSTER,Westminster,E05013805,REGENT'S PARK,REGENT'S PARK,,,527150,182750,,,London,Paddington,273.0,Paddington,347.0,West Hampstead,3.0,5.0,5,89,576,2.0
133966-02092023,2023-09-02,2023,13:48:28,13,Special Service,Special Service,Animal assistance incidents,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Correct incident location,,N1,0,20900317,E09000012,HACKNEY,Hackney,E05009371,DE BEAUVOIR,DE BEAUVOIR,,,533250,183750,,,London,Shoreditch,305.0,Shoreditch,,,1.0,1.0,1,92,595,1.0
116346-02082023,2023-08-02,2023,18:56:55,18,Special Service,Special Service,Animal assistance incidents,Dwelling,Converted Flat/Maisonette - Up to 2 storeys ,Correct incident location,,E8,0,20900062,E09000012,HACKNEY,Hackney,E05009372,HACKNEY CENTRAL,HACKNEY CENTRAL,,,534450,185250,,,London,Homerton,302.0,Stoke Newington,,,1.0,1.0,1,60,388,1.0
005754-13012023,2023-01-13,2023,06:50:10,6,False Alarm,AFA,,Non Residential,Large supermarket ,Correct incident location,W2 4QH,W2,100023481921,8401512,E09000033,WESTMINSTER,Westminster,E05013798,LANCASTER GATE,LANCASTER GATE,525845.0,180799.0,525850,180750,51.5121125,-0.1878771,London,Paddington,299.0,Kensington,,,1.0,1.0,1,60,364,1.0
050815-12042023,2023-04-12,2023,17:18:45,17,False Alarm,False alarm - Malicious,,Dwelling,House - single occupancy ,Correct incident location,,E7,0,22207886,E09000025,NEWHAM,Newham,E05013913,GREEN STREET EAST,GREEN STREET EAST,,,541650,184850,,,London,Stratford,308.0,East Ham,309.0,Stratford,2.0,2.0,2,60,388,1.0
164304-21102023,2023-10-21,2023,07:10:40,7,False Alarm,AFA,,Non Residential,Airport - terminal ,Within same building,TW6 1QG,TW6,10022800801,21400292,E09000017,HILLINGDON,Hillingdon,E05013570,HEATHROW VILLAGES,HEATHROW VILLAGES,507074.0,175653.0,507050,175650,51.469726186,-0.4598124383,London,Heathrow,448.0,Heathrow,,,1.0,1.0,1,60,388,2.0
071261-21052023,2023-05-21,2023,14:38:39,14,False Alarm,False alarm - Good intent,,Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Correct incident location,,W11,0,21700932,E09000020,KENSINGTON AND CHELSEA,Kensington And chelsea,E05009392,COLVILLE,COLVILLE,,,525050,181050,,,London,North Kensington,230.0,North Kensington,234.0,North Kensington,2.0,3.0,3,60,388,1.0
010499-22012023,2023-01-22,2023,09:48:00,9,False Alarm,AFA,,Non Residential,Food and drink processing,Within same building,SE15 1TF,SE15,200003380888,22501871,E09000028,SOUTHWARK,Southwark,E05011109,OLD KENT ROAD,OLD KENT ROAD,535087.0,177835.0,535050,177850,51.4833444,-0.0559071,London,New Cross,278.0,New Cross,,,1.0,1.0,1,60,364,1.0
111550-25072023,2023-07-25,2023,14:15:15,14,Special Service,Special Service,Other rescue/release of persons,Outdoor,Park ,On land associated with building,W8 6LU,W8,217038850,21700640,E09000020,KENSINGTON AND CHELSEA,Kensington And chelsea,E05009397,HOLLAND,HOLLAND,524767.0,179538.0,524750,179550,51.5010188774,-0.2038440914,London,Kensington,250.0,Hammersmith,,,1.0,1.0,1,60,388,2.0
080426-05062023,2023-06-05,2023,20:21:01,20,Special Service,Special Service,Assist other agencies,Non Residential,Fire station ,Correct incident location,E13 8RY,E13,10008992181,22200973,E09000025,NEWHAM,Newham,E05013919,PLAISTOW SOUTH,PLAISTOW SOUTH,541079.0,182187.0,541050,182150,51.5209945546,0.0320736262,London,Plaistow,5.0,Plaistow,,,1.0,1.0,1,60,388,1.0
165043-22102023,2023-10-22,2023,14:01:14,14,False Alarm,False alarm - Good intent,,Outdoor,Tree scrub ,Open land/water - nearest gazetteer location,TW10 5HB,TW10,100022307600,22406427,E09000027,RICHMOND UPON THAMES,Richmond Upon thames,E05013777,"HAM, PETERSHAM & RICHMOND RIVERSIDE","HAM, PETERSHAM & RICHMOND RIVERSIDE",518162.0,172028.0,518150,172050,51.4349404926,-0.3014646163,London,Kingston,835.0,Kingston,987.0,Richmond,2.0,2.0,2,60,388,1.0
145079-19092023,2023-09-19,2023,12:01:12,12,Fire,Primary Fire,,Dwelling,Converted Flat/Maisonettes - 3 or more storeys,Within same building,,SW9,0,21901434,E09000022,LAMBETH,Lambeth,E05014107,MYATT'S FIELDS,MYATT'S FIELDS,,,531550,177150,,,London,Brixton,187.0,Brixton,210.0,Lambeth,2.0,2.0,2,72,466,2.0
063461-06052023,2023-05-06,2023,23:58:11,23,False Alarm,AFA,,Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Within same building,,E14,0,22702428,E09000030,TOWER HAMLETS,Tower Hamlets,E05009323,CANARY WHARF,CANARY WHARF,,,537450,179450,,,London,Millwall,304.0,Millwall,345.0,Poplar,2.0,2.0,2,60,388,1.0
024145-17022023,2023-02-17,2023,12:04:23,12,Special Service,Special Service,Flooding,Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Within same building,,SE26,0,22001951,E09000023,LEWISHAM,Lewisham,E05013731,SYDENHAM,SYDENHAM,,,536450,171750,,,London,Forest Hill,367.0,Bromley,,,1.0,1.0,1,60,364,1.0
075540-28052023,2023-05-28,2023,22:33:25,22,Fire,Primary Fire,,Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Within same building,,N1,0,21605050,E09000019,ISLINGTON,Islington,E05013710,ST. MARY'S & ST. JAMES',ST. MARY'S & ST. JAMES',,,531950,184150,,,London,Islington,332.0,Shoreditch,1034.0,Islington,2.0,2.0,4,400,2587,1.0
029469-28022023,2023-02-28,2023,10:02:53,10,Fire,Primary Fire,,Dwelling,Purpose Built Flats/Maisonettes - 10 or more storeys ,Correct incident location,,BR2,0,20300668,E09000006,BROMLEY,Bromley,E05013990,BROMLEY COMMON & HOLWOOD,BROMLEY COMMON & HOLWOOD,,,542250,167350,,,London,Bromley,356.0,Bromley,371.0,Bromley,3.0,5.0,7,1028,6237,2.0
078731-03062023,2023-06-03,2023,06:40:55,6,False Alarm,AFA,,Other Residential,Nursing/Care Home/Hospice,Correct incident location,KT6 6QW,KT6,128011180,21800588,E09000021,KINGSTON UPON THAMES,Kingston Upon thames,E05013944,SURBITON HILL,SURBITON HILL,518033.0,166282.0,518050,166250,51.383321,-0.305236,London,Surbiton,412.0,Surbiton,549.0,Kingston,3.0,3.0,3,60,388,1.0
059096-29042023,2023-04-29,2023,03:44:11,3,Special Service,Special Service,No action (not false alarm),Outdoor,Domestic garden (vegetation not equipment) ,On land associated with building,SE4 1QD,SE4,100022014975,22001052,E09000023,LEWISHAM,Lewisham,E05013716,BROCKLEY,BROCKLEY,537386.0,176052.0,537350,176050,51.4667683516,-0.0235067312,London,Lewisham,313.0,Lewisham,,,1.0,1.0,1,60,388,1.0
205328-30122023,2023-12-30,2023,18:53:51,18,False Alarm,AFA,,Dwelling,Purpose Built Flats/Maisonettes - 10 or more storeys ,Correct incident location,,CR0,0,20500939,E09000008,CROYDON,Croydon,E05011468,FAIRFIELD,FAIRFIELD,,,532450,165250,,,London,Croydon,174.0,Croydon,198.0,Croydon,3.0,5.0,5,60,388,1.0
017361-04022023,2023-02-04,2023,11:37:17,11,Special Service,Special Service,Lift Release,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Within same building,,E14,0,22700746,E09000030,TOWER HAMLETS,Tower Hamlets,E05009327,MILE END,MILE END,,,537250,181250,,,London,Poplar,,,,,1.0,1.0,1,60,364,1.0
091265-22062023,2023-06-22,2023,14:50:17,14,False Alarm,False alarm - Malicious,,Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Within same building,,CR4,0,22106075,E09000024,MERTON,Merton,E05013818,LONGTHORNTON,LONGTHORNTON,,,529550,168950,,,London,Norbury,508.0,Mitcham,517.0,West Norwood,2.0,2.0,2,60,388,1.0
054955-20042023,2023-04-20,2023,23:10:14,23,False Alarm,False alarm - Good intent,,Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Correct incident location,,SE6,0,22002036,E09000023,LEWISHAM,Lewisham,E05013730,RUSHEY GREEN,RUSHEY GREEN,,,537850,173950,,,London,Lewisham,288.0,Lewisham,,,1.0,1.0,1,60,388,1.0
099237-04072023,2023-07-04,2023,21:11:01,21,False Alarm,AFA,,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Correct incident location,,NW6,0,20200109,E09000005,BRENT,Brent,E05013503,KILBURN,KILBURN,,,525050,183150,,,London,Paddington,306.0,Paddington,308.0,West Hampstead,3.0,5.0,5,60,388,1.0
068451-16052023,2023-05-16,2023,12:58:08,12,Special Service,Special Service,Flooding,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Correct incident location,,E1,0,22700144,E09000030,TOWER HAMLETS,Tower Hamlets,E05009329,ST. DUNSTAN'S,ST. DUNSTAN'S,,,536050,181650,,,London,Bethnal Green,284.0,Bethnal Green,,,1.0,1.0,1,60,388,1.0
084994-12062023,2023-06-12,2023,17:18:58,17,Special Service,Special Service,Lift Release,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Correct incident location,,TW9,0,22406655,E09000027,RICHMOND UPON THAMES,Richmond Upon thames,E05013782,KEW,KEW,,,518850,176950,,,London,Richmond,,,,,1.0,1.0,1,60,388,1.0
114666-30072023,2023-07-30,2023,20:06:17,20,False Alarm,AFA,,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Correct incident location,,SE18,0,20803003,E09000011,GREENWICH,Greenwich,E05014074,CHARLTON HORNFAIR,CHARLTON HORNFAIR,,,542250,177050,,,London,East Greenwich,363.0,Eltham,408.0,East Greenwich,3.0,5.0,5,83,537,1.0
